id,lon,lat
PZA00528_1,-99.81,18.36
PZA00528_1,-99.9084166667,18.411
PZA00528_1,-104.41,20.82
PZA00528_1,-99.4776388889,17.39175
PZA00528_1,-99.28,16.98
PZA00528_1,-104.18,19.9
PZA00528_1,-104.11,19.91
PZA00528_1,-103.98,19.44
PZA00528_1,-104.4078888889,20.6273055556
PZA00528_1,-101.21,19.06
PZA00528_1,-104.05,19.96
PZA00528_1,-100.49,19.23
PZA00528_1,-99.3683055556,17.4599166667
PZA00528_1,-99.218,18.2376944444
PZA00528_1,-97.02,16.35
PZA00528_1,-104,19.95
PZA00528_1,-104.17675,19.8961388889
PZA00528_1,-104.8718611111,19.7324722222
PZA00528_1,-104.05825,19.5353611111
PZA00528_1,-100.4214444444,19.3273888889
PZA00528_1,-99.8410833333,18.3498333333
PZA00528_1,-104.8048888889,19.7154444444
PZA02619_1,-99.81,18.36
PZA02619_1,-99.9084166667,18.411
PZA02619_1,-104.41,20.82
PZA02619_1,-99.4776388889,17.39175
PZA02619_1,-104.18,19.9
PZA02619_1,-104.11,19.91
PZA02619_1,-97.02,16.35
PZA02619_1,-103.98,19.44
PZA02619_1,-104.4078888889,20.6273055556
PZA02619_1,-101.21,19.06
PZA02619_1,-104.05,19.96
PZA02619_1,-100.49,19.23
PZA02619_1,-99.3683055556,17.4599166667
PZA02619_1,-99.218,18.2376944444
PZA02619_1,-97.02,16.35
PZA02619_1,-104,19.95
PZA02619_1,-104.17675,19.8961388889
PZA02619_1,-104.05825,19.5353611111
PZA02619_1,-100.4214444444,19.3273888889
PZA02619_1,-99.8410833333,18.3498333333
PZB01460_1,-99.81,18.36
PZB01460_1,-99.9084166667,18.411
PZB01460_1,-104.41,20.82
PZB01460_1,-99.4776388889,17.39175
PZB01460_1,-104.18,19.9
PZB01460_1,-104.11,19.91
PZB01460_1,-97.02,16.35
PZB01460_1,-103.98,19.44
PZB01460_1,-104.4078888889,20.6273055556
PZB01460_1,-101.21,19.06
PZB01460_1,-104.05,19.96
PZB01460_1,-100.49,19.23
PZB01460_1,-99.3683055556,17.4599166667
PZB01460_1,-99.218,18.2376944444
PZB01460_1,-97.02,16.35
PZB01460_1,-104,19.95
PZB01460_1,-104.17675,19.8961388889
PZB01460_1,-104.8718611111,19.7324722222
PZB01460_1,-104.05825,19.5353611111
PZB01460_1,-100.4214444444,19.3273888889
PZB01460_1,-99.8410833333,18.3498333333
PZB01460_1,-104.8048888889,19.7154444444
PZE_101109031,-99.81,18.36
PZE_101109031,-99.9084166667,18.411
PZE_101109031,-104.41,20.82
PZE_101109031,-99.4776388889,17.39175
PZE_101109031,-99.28,16.98
PZE_101109031,-104.18,19.9
PZE_101109031,-104.11,19.91
PZE_101109031,-97.02,16.35
PZE_101109031,-103.98,19.44
PZE_101109031,-104.4078888889,20.6273055556
PZE_101109031,-101.21,19.06
PZE_101109031,-104.05,19.96
PZE_101109031,-100.49,19.23
PZE_101109031,-99.3683055556,17.4599166667
PZE_101109031,-99.218,18.2376944444
PZE_101109031,-97.02,16.35
PZE_101109031,-104,19.95
PZE_101109031,-104.17675,19.8961388889
PZE_101109031,-104.05825,19.5353611111
PZE_101109031,-100.4214444444,19.3273888889
PZE_101109031,-99.2854722222,16.9811388889
PZE_101109031,-99.8410833333,18.3498333333
PZE_101193013,-99.81,18.36
PZE_101193013,-99.9084166667,18.411
PZE_101193013,-104.41,20.82
PZE_101193013,-99.4776388889,17.39175
PZE_101193013,-104.18,19.9
PZE_101193013,-104.11,19.91
PZE_101193013,-97.02,16.35
PZE_101193013,-103.98,19.44
PZE_101193013,-104.4078888889,20.6273055556
PZE_101193013,-101.21,19.06
PZE_101193013,-104.05,19.96
PZE_101193013,-100.49,19.23
PZE_101193013,-99.3683055556,17.4599166667
PZE_101193013,-99.218,18.2376944444
PZE_101193013,-97.02,16.35
PZE_101193013,-104,19.95
PZE_101193013,-104.17675,19.8961388889
PZE_101193013,-104.8718611111,19.7324722222
PZE_101193013,-104.05825,19.5353611111
PZE_101193013,-100.4214444444,19.3273888889
PZE_101193013,-99.8410833333,18.3498333333
PZE_101193013,-104.8048888889,19.7154444444
PZE_102137410,-99.81,18.36
PZE_102137410,-99.9084166667,18.411
PZE_102137410,-104.41,20.82
PZE_102137410,-99.4776388889,17.39175
PZE_102137410,-104.18,19.9
PZE_102137410,-104.11,19.91
PZE_102137410,-97.02,16.35
PZE_102137410,-103.98,19.44
PZE_102137410,-104.4078888889,20.6273055556
PZE_102137410,-101.21,19.06
PZE_102137410,-104.05,19.96
PZE_102137410,-100.49,19.23
PZE_102137410,-99.3683055556,17.4599166667
PZE_102137410,-99.218,18.2376944444
PZE_102137410,-97.02,16.35
PZE_102137410,-104,19.95
PZE_102137410,-104.17675,19.8961388889
PZE_102137410,-104.8718611111,19.7324722222
PZE_102137410,-104.05825,19.5353611111
PZE_102137410,-100.4214444444,19.3273888889
PZE_102137410,-99.8410833333,18.3498333333
PZE_102137410,-104.8048888889,19.7154444444
PZE_103137105,-99.81,18.36
PZE_103137105,-99.9084166667,18.411
PZE_103137105,-104.41,20.82
PZE_103137105,-99.4776388889,17.39175
PZE_103137105,-99.28,16.98
PZE_103137105,-104.18,19.9
PZE_103137105,-104.11,19.91
PZE_103137105,-97.02,16.35
PZE_103137105,-103.98,19.44
PZE_103137105,-104.4078888889,20.6273055556
PZE_103137105,-101.21,19.06
PZE_103137105,-104.05,19.96
PZE_103137105,-100.49,19.23
PZE_103137105,-99.3683055556,17.4599166667
PZE_103137105,-99.218,18.2376944444
PZE_103137105,-97.02,16.35
PZE_103137105,-104,19.95
PZE_103137105,-104.17675,19.8961388889
PZE_103137105,-104.8718611111,19.7324722222
PZE_103137105,-104.05825,19.5353611111
PZE_103137105,-100.4214444444,19.3273888889
PZE_103137105,-99.2854722222,16.9811388889
PZE_103137105,-99.8410833333,18.3498333333
PZE_103137105,-104.8048888889,19.7154444444
PZE_103152619,-99.81,18.36
PZE_103152619,-99.9084166667,18.411
PZE_103152619,-104.41,20.82
PZE_103152619,-99.4776388889,17.39175
PZE_103152619,-99.28,16.98
PZE_103152619,-104.18,19.9
PZE_103152619,-97.02,16.35
PZE_103152619,-103.98,19.44
PZE_103152619,-104.4078888889,20.6273055556
PZE_103152619,-101.21,19.06
PZE_103152619,-104.05,19.96
PZE_103152619,-100.49,19.23
PZE_103152619,-99.3683055556,17.4599166667
PZE_103152619,-99.218,18.2376944444
PZE_103152619,-97.02,16.35
PZE_103152619,-104,19.95
PZE_103152619,-104.17675,19.8961388889
PZE_103152619,-104.8718611111,19.7324722222
PZE_103152619,-104.05825,19.5353611111
PZE_103152619,-100.4214444444,19.3273888889
PZE_103152619,-99.2854722222,16.9811388889
PZE_103152619,-99.8410833333,18.3498333333
PZE_103152619,-104.8048888889,19.7154444444
PZE_104001592,-99.81,18.36
PZE_104001592,-99.9084166667,18.411
PZE_104001592,-104.41,20.82
PZE_104001592,-99.4776388889,17.39175
PZE_104001592,-99.28,16.98
PZE_104001592,-104.18,19.9
PZE_104001592,-104.11,19.91
PZE_104001592,-97.02,16.35
PZE_104001592,-103.98,19.44
PZE_104001592,-104.4078888889,20.6273055556
PZE_104001592,-101.21,19.06
PZE_104001592,-104.05,19.96
PZE_104001592,-100.49,19.23
PZE_104001592,-99.3683055556,17.4599166667
PZE_104001592,-99.218,18.2376944444
PZE_104001592,-97.02,16.35
PZE_104001592,-104,19.95
PZE_104001592,-104.17675,19.8961388889
PZE_104001592,-104.8718611111,19.7324722222
PZE_104001592,-104.05825,19.5353611111
PZE_104001592,-100.4214444444,19.3273888889
PZE_104001592,-99.2854722222,16.9811388889
PZE_104001592,-99.8410833333,18.3498333333
PZE_104001592,-104.8048888889,19.7154444444
PZE_109063899,-99.81,18.36
PZE_109063899,-99.9084166667,18.411
PZE_109063899,-99.4776388889,17.39175
PZE_109063899,-104.18,19.9
PZE_109063899,-104.11,19.91
PZE_109063899,-103.98,19.44
PZE_109063899,-104.4078888889,20.6273055556
PZE_109063899,-101.21,19.06
PZE_109063899,-104.05,19.96
PZE_109063899,-100.49,19.23
PZE_109063899,-99.3683055556,17.4599166667
PZE_109063899,-99.218,18.2376944444
PZE_109063899,-97.02,16.35
PZE_109063899,-104,19.95
PZE_109063899,-104.17675,19.8961388889
PZE_109063899,-104.8718611111,19.7324722222
PZE_109063899,-104.05825,19.5353611111
PZE_109063899,-100.4214444444,19.3273888889
PZE_109063899,-99.8410833333,18.3498333333
PZE_109063899,-104.8048888889,19.7154444444
PZE_110035692,-99.81,18.36
PZE_110035692,-99.9084166667,18.411
PZE_110035692,-104.41,20.82
PZE_110035692,-99.4776388889,17.39175
PZE_110035692,-104.18,19.9
PZE_110035692,-104.11,19.91
PZE_110035692,-97.02,16.35
PZE_110035692,-103.98,19.44
PZE_110035692,-104.4078888889,20.6273055556
PZE_110035692,-101.21,19.06
PZE_110035692,-104.05,19.96
PZE_110035692,-100.49,19.23
PZE_110035692,-99.3683055556,17.4599166667
PZE_110035692,-99.218,18.2376944444
PZE_110035692,-97.02,16.35
PZE_110035692,-104,19.95
PZE_110035692,-104.17675,19.8961388889
PZE_110035692,-104.8718611111,19.7324722222
PZE_110035692,-104.05825,19.5353611111
PZE_110035692,-100.4214444444,19.3273888889
PZE_110035692,-99.2854722222,16.9811388889
PZE_110035692,-99.8410833333,18.3498333333
PZE_110035692,-104.8048888889,19.7154444444
SYN21288,-99.81,18.36
SYN21288,-99.9084166667,18.411
SYN21288,-104.41,20.82
SYN21288,-99.4776388889,17.39175
SYN21288,-99.28,16.98
SYN21288,-104.18,19.9
SYN21288,-104.11,19.91
SYN21288,-97.02,16.35
SYN21288,-103.98,19.44
SYN21288,-104.4078888889,20.6273055556
SYN21288,-101.21,19.06
SYN21288,-104.05,19.96
SYN21288,-100.49,19.23
SYN21288,-99.3683055556,17.4599166667
SYN21288,-99.218,18.2376944444
SYN21288,-97.02,16.35
SYN21288,-104,19.95
SYN21288,-104.17675,19.8961388889
SYN21288,-104.05825,19.5353611111
