id,lon,lat
PZE_101131254,-99.81,18.36
PZE_101131254,-99.9084166667,18.411
PZE_101131254,-104.41,20.82
PZE_101131254,-99.4776388889,17.39175
PZE_101131254,-99.28,16.98
PZE_101131254,-104.18,19.9
PZE_101131254,-104.11,19.91
PZE_101131254,-97.02,16.35
PZE_101131254,-103.98,19.44
PZE_101131254,-104.4078888889,20.6273055556
PZE_101131254,-101.21,19.06
PZE_101131254,-104.05,19.96
PZE_101131254,-100.49,19.23
PZE_101131254,-99.3683055556,17.4599166667
PZE_101131254,-99.218,18.2376944444
PZE_101131254,-97.02,16.35
PZE_101131254,-104,19.95
PZE_101131254,-104.17675,19.8961388889
PZE_101131254,-104.05825,19.5353611111
PZE_101131254,-100.4214444444,19.3273888889
PZE_101131254,-99.2854722222,16.9811388889
PZE_101131254,-99.8410833333,18.3498333333
PZE_103059706,-99.81,18.36
PZE_103059706,-99.9084166667,18.411
PZE_103059706,-104.41,20.82
PZE_103059706,-99.4776388889,17.39175
PZE_103059706,-99.28,16.98
PZE_103059706,-104.18,19.9
PZE_103059706,-104.11,19.91
PZE_103059706,-97.02,16.35
PZE_103059706,-103.98,19.44
PZE_103059706,-104.4078888889,20.6273055556
PZE_103059706,-101.21,19.06
PZE_103059706,-104.05,19.96
PZE_103059706,-100.49,19.23
PZE_103059706,-99.3683055556,17.4599166667
PZE_103059706,-99.218,18.2376944444
PZE_103059706,-104,19.95
PZE_103059706,-104.17675,19.8961388889
PZE_103059706,-104.8718611111,19.7324722222
PZE_103059706,-104.05825,19.5353611111
PZE_103059706,-100.4214444444,19.3273888889
PZE_103059706,-99.2854722222,16.9811388889
PZE_103059706,-99.8410833333,18.3498333333
PZE_103059706,-104.8048888889,19.7154444444
PZE_104026211,-99.81,18.36
PZE_104026211,-99.9084166667,18.411
PZE_104026211,-104.41,20.82
PZE_104026211,-99.4776388889,17.39175
PZE_104026211,-99.28,16.98
PZE_104026211,-104.18,19.9
PZE_104026211,-104.11,19.91
PZE_104026211,-97.02,16.35
PZE_104026211,-103.98,19.44
PZE_104026211,-104.4078888889,20.6273055556
PZE_104026211,-101.21,19.06
PZE_104026211,-104.05,19.96
PZE_104026211,-100.49,19.23
PZE_104026211,-99.3683055556,17.4599166667
PZE_104026211,-99.218,18.2376944444
PZE_104026211,-97.02,16.35
PZE_104026211,-104.17675,19.8961388889
PZE_104026211,-100.4214444444,19.3273888889
PZE_104026211,-99.2854722222,16.9811388889
PZE_104026211,-99.8410833333,18.3498333333
PZE_104044827,-99.81,18.36
PZE_104044827,-99.9084166667,18.411
PZE_104044827,-104.41,20.82
PZE_104044827,-99.4776388889,17.39175
PZE_104044827,-99.28,16.98
PZE_104044827,-104.18,19.9
PZE_104044827,-104.11,19.91
PZE_104044827,-97.02,16.35
PZE_104044827,-103.98,19.44
PZE_104044827,-104.4078888889,20.6273055556
PZE_104044827,-101.21,19.06
PZE_104044827,-100.49,19.23
PZE_104044827,-99.3683055556,17.4599166667
PZE_104044827,-99.218,18.2376944444
PZE_104044827,-97.02,16.35
PZE_104044827,-104,19.95
PZE_104044827,-104.17675,19.8961388889
PZE_104044827,-104.8718611111,19.7324722222
PZE_104044827,-104.05825,19.5353611111
PZE_104044827,-100.4214444444,19.3273888889
PZE_104044827,-99.2854722222,16.9811388889
PZE_104044827,-99.8410833333,18.3498333333
PZE_104044827,-104.8048888889,19.7154444444
PZE_105090166,-99.81,18.36
PZE_105090166,-99.9084166667,18.411
PZE_105090166,-104.41,20.82
PZE_105090166,-99.4776388889,17.39175
PZE_105090166,-99.28,16.98
PZE_105090166,-104.18,19.9
PZE_105090166,-104.11,19.91
PZE_105090166,-103.98,19.44
PZE_105090166,-104.4078888889,20.6273055556
PZE_105090166,-101.21,19.06
PZE_105090166,-104.05,19.96
PZE_105090166,-100.49,19.23
PZE_105090166,-99.218,18.2376944444
PZE_105090166,-104,19.95
PZE_105090166,-104.17675,19.8961388889
PZE_105090166,-104.05825,19.5353611111
PZE_105090166,-100.4214444444,19.3273888889
PZE_105090166,-99.2854722222,16.9811388889
PZE_105090166,-99.8410833333,18.3498333333
PZE_106008139,-99.81,18.36
PZE_106008139,-99.9084166667,18.411
PZE_106008139,-104.41,20.82
PZE_106008139,-99.4776388889,17.39175
PZE_106008139,-104.18,19.9
PZE_106008139,-104.11,19.91
PZE_106008139,-103.98,19.44
PZE_106008139,-104.4078888889,20.6273055556
PZE_106008139,-101.21,19.06
PZE_106008139,-104.05,19.96
PZE_106008139,-100.49,19.23
PZE_106008139,-99.3683055556,17.4599166667
PZE_106008139,-99.218,18.2376944444
PZE_106008139,-104,19.95
PZE_106008139,-104.17675,19.8961388889
PZE_106008139,-104.05825,19.5353611111
PZE_106008139,-100.4214444444,19.3273888889
PZE_106008139,-99.8410833333,18.3498333333
PZE_109029456,-99.81,18.36
PZE_109029456,-99.9084166667,18.411
PZE_109029456,-104.41,20.82
